[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
شيلة[P, G] شيلة|شَيْلِة[P, G] شَيْلِة	<ol style="listStyleType: circle;"><li style="">completely, totally, utterly, altogether                             ;[pronunciation: [P, G] šēle]</li> <li style="">at all (in negative sentences)                             ;[pronunciation: [P, G] šēle]</li></ol>
شيلط|شَيْلَط	<ol style="listStyleType: circle;"><li style="">See example                                                                                ; (شيلط، ويتبعها بيلط كإتباع، فيقال قاموهشَيْلَطبَيْلَط، اي رفعوه بيديه ورجليه);</li></ol>
شيلي|شِيْلِي	<ol style="listStyleType: circle;"><li style="">Chilean</li> <li style="">الشِّيْلِي : Chile</li></ol>
شيه	<ol style="listStyleType: circle;"><li style="">a sound, made in scolding of someone, like “come on”                                           ;used mainly in Lebanon. For Syria see لك ;</li></ol>
شيوخي	<ol style="listStyleType: circle;"><li style="">الدراويشي ( الشيوخي):مبكر النضج متوسط الانتشار قصباته لونها مائل للحمرة اوراقه خضراء يشوبها لون محمر, عناقيده كبيرة متزاحمة الثمار, قشرة الثمرة سميكة مغطاه بطبقة شمعية تعطيها بعض اللمعان, الثمار مستطيلة ونسبة اللب بها عالية. الصنف حساس للامراض الفطرية و الحشرية خصوصا عثة هريان العنب.</li></ol>
شيوعي|شْيُوْعي	<ol style="listStyleType: circle;"><li style="">communist (adjective)</li> <li style="">communist                                             ;[pronunciation: šºyūʕy،šºyūʕiyyīn،šºyūʕiyye]</li></ol>
شيوعية[S] شيوعية|شْيُوْعِيِّة[S] شُيُوْعِيِّة	<ol style="listStyleType: circle;"><li style="">الشّْيُوعِيِّة : communism                           ;[pronunciation: šºyūʕiyye]</li></ol>
صاب|صَاب	<ol style="listStyleType: circle;"><li style="">to hit (ه = s.th., e.g. a target)                            ;[pronunciation: ṣᾱb، yºṣīb]</li> <li style="">to hurt, injure, afflict (ه = s.o., ب = with)                            ;[pronunciation: ṣᾱb، yºṣīb]</li> <li style="">to befall, happen to (ه = s.o. / s.th., e.g. said of a disaster)                            ;[pronunciation: ṣᾱb، yºṣīb]</li> <li style="">to touch (ه = s.th.) (e.g. in a way that might cause harm)                            ;[pronunciation: ṣᾱb، yºṣīb]</li></ol>
صابح	<ol style="listStyleType: circle;"><li style="">()                                                                                 ;(بيروح، بيجيب لهم قوس نشّاب، صابح هنّ في نهر تحت القصر يعني، جاب لهم قوس ونشّاب)</li></ol>
صابورية|صابورِيّة	<ol style="listStyleType: circle;"><li style="">a basket made of palm leaves (used to move dirt and the like)                                    ; (قفة من الخوص لنقل التراب وخلافه);</li></ol>
صابون[S]صابون|صَابُوْن[S]صَاْبُوْن	<ol style="listStyleType: circle;"><li style="">soap                                ;[pronunciation: ṣᾱbūn][keyword]</li></ol>
صابونة|صَابُوْنِة	<ol style="listStyleType: circle;"><li style="">(a) piece of soap, a cake of soap                        ;[pronunciation: ṣᾱbūne]</li> <li style="">kneecap                        ;[pronunciation: ṣᾱbūne]</li></ol>
صات	<ol style="listStyleType: circle;"><li style="">to melt, become liquid (said of fat, snow, etc.)                                  ; (صات الدهنُ والجليدُ، سال وذاب);</li></ol>
صاج|صَاج	<ol style="listStyleType: circle;"><li style="">tin (metal)                     ;[pronunciation: ṣᾱj]</li> <li style="">baking sheet                                                                                                                                                                                 ;a round, (usually) concave sheet of metal, used for baking bread; (حديدة مستديرة مقعَّرة تحمَى ويُخْبَز عليها، وخبز الصاج من أنواع الخبز الممتازة في لبنان);[pronunciation: ṣᾱj]</li> <li style="">sheet metal, sheet steel                     ;[pronunciation: ṣᾱj]</li> <li style="">bodywork (of a vehicle)                     ;[pronunciation: ṣᾱj]</li> <li style="">domed sheet of tin on which Arab bread is baked                     ;[pronunciation: ṣᾱj]</li></ol>
صاجة	<ol style="listStyleType: circle;"><li style="">(alternative pronunciation of صاج , listed by Anis Freyha) ;</li></ol>
صاح|صَاح	<ol style="listStyleType: circle;"><li style="">to crow (said of a cock / rooster)                            ;[pronunciation: ṣᾱḥ، yºṣīḥ]</li> <li style="">to shout, scream                            ;[pronunciation: ṣᾱḥ، yºṣīḥ]</li></ol>
صاحب|صَاحِب	<ol style="listStyleType: circle;"><li style="">(male) friend, companion                                               ;[pronunciation: ṣᾱḥeb،ṣºḥᾱb / ʔɑṣḥᾱb][keyword]</li> <li style="">boy friend                                      ;[pronunciation: ṣᾱḥeb،ṣºḥᾱb / ʔɑṣḥᾱb]</li> <li style="">(male) owner, proprietor, possessor                                               ;[pronunciation: ṣᾱḥeb،ṣºḥᾱb / ʔɑṣḥᾱb][keyword]</li></ol>
صاحب|صَاحَب	<ol style="listStyleType: circle;"><li style="">to befriend, make a friend of, be friends with (ه = s.o.)                                ;[pronunciation: ṣᾱḥɑb، yºṣᾱḥeb]</li> <li style="">to take as a boyfriend / girlfriend (ه = s.o.)                                ;[pronunciation: ṣᾱḥɑb، yºṣᾱḥeb]</li></ol>
صاحب|صَاْحَب	<ol style="listStyleType: circle;"><li style="">to attend, accompany (ه = s.o. / s.th.)</li></ol>
صاحبة|صَاحْبِة	<ol style="listStyleType: circle;"><li style="">(female) friend, companion                                ;[pronunciation: ṣᾱḥºbe،ṣᾱḥºbᾱt]</li> <li style="">girl friend                                ;[pronunciation: ṣᾱḥºbe،ṣᾱḥºbᾱt]</li> <li style="">(female) owner, proprietor, possessor                                ;[pronunciation: ṣᾱḥºbe،ṣᾱḥºbᾱt]</li></ol>
صاحي|صَاحي	<ol style="listStyleType: circle;"><li style="">awake                                     ;[pronunciation: ṣᾱḥy،ṣᾱḥºyīn،ṣᾱḥºye]</li> <li style="">aware, alert                                     ;[pronunciation: ṣᾱḥy،ṣᾱḥºyīn،ṣᾱḥºye]</li> <li style="">fair, clear (of weather)</li></ol>
