A	 pronounced a as in fat. 
-ngutula (ngutuzi) 	v.t. to kill (with a stick) cf. -bulaya rel. -nguXlela (ngutulezi) to kill on someone's behalf or for a reason. caus. -ngu- tulisa (ngutulisize) to cause to kill: Ki–i se si ku ngutulisize nja ya hao? why did you kill your dog? freq. -ngutaula (ngutauzi) to strike re-peatedly to strike to death. 
nguya (li-)	n. a thin little child; a thin calf. syn. munguya. 
-nguya2 (nguyile)	v.i, to sing a mono-tonous song; to compose a song. der. munguyi, linguya. rel. -nguyela (nguyezi) to sing for caus. -nguyisa (nguyisize) to cause to sing, to join someone in singing ref. -inguyisa (inguyisize) to be the cause of people singing: Na ha ni lati ku ing-uyisa batufa lika za linolwani, I do not like to effect the singing of people over small affairs. 
-ngwaama (ngwaami or ngwaamile) 	v.i. to sit idly. cf. -ina. rel. -ngwaa-mela (ngwaamezi) to sit waiting. caus. -ngwaamisa (ngwaamisize) to keep someone waiting unduly. ref. -ingwaamisa (ingwaamisize) to delay oneself. 
-ngwalumuka (ngwalumukile)	v.i. to become wider, broader. cf. -atama. caus. -ngwalumukisa (ngwa-lumukisize) or -ngwalumuna (ng-walumuzi) to widen, to enlarge: Mu sike mwa ngwalumuna hahulu ndu ye mwa bupala, mulalo wa mina u kusufale, do not make this house too wide so reouce the width shown on your plan. rel. -ngwalu-munela (ngwalumunezi) to build a large house for someone: U ngwa-lumunezi munyan'a hae ndu yende, he built a very nice big house for his younger brother. ref. -ingwalu-munela (ingwahmunezi) to build for oneself a large house. 
ngwangwalyu (li- or ma-)	n. wind-pipe, trachea, larynx. 
ngwangwalya!	interj. expressing sudden disappearance: A sa li ku ya kwa bukuwa ngwangwalya! we have heard nothing about him since he leh for the line of rail: ku miza ng-wangwalya, to swallow rapidly without taking a breath. 
-ngwanjula or -ngwenjuia (ngwen-juzi)	v.t. to slash grass. der. mung- wenjuli, singwenjuliso, cf. -puma, -mweta. rel. -ngwenjulela (ngwenju-lezi) to ~ for someone. caus. -ng-wenjulisa (ngwenjulisize) to order or to help someone to ~ comple-tely. 
-ngwangwasha (ngwangwashize)	v.i. to walk shakily (old or sick person) syn. -njanjata. 
ngwashangwasha (li-)	n. a little beer remaining in a pot, tin, mug, etc. 
ngwe (li-)	n. Ieopard. syn. ndoo. 
ngwee,	n. dawn: Bu sile, ku li ngwee; the night is over, dawn comes 
ngwee2 (li-)	n. copper coin worth one hundredth part of a kwacha (Zambian money unit). 
-ngweluka (ngwelukile) 	v.i. to be clear (sky) cloudless. der. ngweluu ! cf. -apuha. int. -ngwelukelela (ngwe-lukelezi) to be blue, absolutely cloudless: Kacenu ku ngwelukele-lezi, musipili wa luna u ta ba omunde; today the sky is comple-tely clear, so our trip will be a pleasant one. 
-ngwenjeka (ngwenjekile)	v.t. to sur-round in order to kill, to trap (game, birds, etc.,); to ambush (people) cf. -swasa. ngwenyama (li-) n. a greedy person. syn. –wanyama. 
ngweshi (li-)	n. tiger fish. 
ngweshi2 (li-)	n. the Litunga's per-sonal spears. 
ngwe-ya-linzi (li-)	n. kind of insect very similar to the house-fly which it often kills. 
-ngwilimana (ngwilimani or ngwili-manile)	v.i. to run very fast. syn. -mata, -landamana, -kitima. rel. -ng-wilimanela (ngwilimanezi) to run towards. caus. -ngwihnanisa (ng-wilimanisize) also -ngwilimeka (ng-wilimekile) to cause to run fast, to pursue. 
ni,	conj. and, too, also, with; along side: Mu zamaye fela ni nuka, just go along side the river; ku ba ni, to have, (to be with) cf. mi. 
ni,2	pron. subj. and obj. first person, singular. 1: Ni bona mutu, I see someone; ba ni bata, they are look-ing for me. 
niha, nihaiba, nihaili,	conj. through, although: Niha ni kula, na sebeza, l am working although I am sick. 
nihakuliewalo, 	conj. yet, still, how-ever, nevertheless. nihakusiewalo, conj. if it is not the case. 
ninguka (ningukile)	v.i. to have a narrow waist (woman). 
-ningula (ninguzi)	v.t. to tighten. fig. exp. Tala i ni ninguzi, I am hungry. (lit. hunger grasped me). 
niti (li-)	n. truth, veracity, sincerity; adv. exp. ka niti, truly, verily, really. syn. buniti. 
nja (li-)	n. dog. fig. stingy, avari-CiOUS person. 
nja2 (li-)	n. wooden needle used in thatching 
njafu,	n. food eaten by someone on the point of dying, or by warriors on the point of fighting. 
njakati (bo-)	n. Luyana. great eater (woman). cf. njalume. 
-njakila (njakizi)	v.t. to beat the third drum in a set of three. der. munjakili, kanjakili. 
njakula (njakuzi)	v.t. to eat, chew-ing noisily. syn. -makula. cf. -ca. freq. -njakaula (njakauzi) or-nja-kola (njakozi) to have the habit of ~. 
-njaluka (njalukile) 	v.i. to remain standing. caus. -njalukisa (njaluki-size) to keep someone standing. ref. -injalula (injaluzi) to remain standing purposely: Ki–i ha u inja-luzi cwalo wena ha u sebezi nji? why do you remain standing like this, have you nothing to do? 
njalume (bo-)	n. Luyana. great eater (man) cf. njakati. 
njamala (li-)	n. Eng. underwear, pyjama. 
njamba (li-)	n. Iarge bow-net. cf. lukuko. 
njamulEda (bo-)	n. wife disregarded by her polygamous husband. 
-njanga (njangile) 	v.t. to accuse fal-sely. der. manjanga. syn. -tameleza. rel. -njangela (njangezi) to deliber-ately ~. freq. -njangaka (njanga-kile) or -njangaeka (njimgaekile) to often ~. ref. -injanga (injangile) to be responsible for being falsely ac- cused. 
-nJangameka (ngangamekile)	v.t. to lift and place on. cf. -kambeka. 
-njanga-njanga (njanga-njangile)	v.i. to try to do a thing above one's power: Ni njanga-njangafela, muse-bezi ki omutuna ha ni na ku u kona. I am just trying to do that work, but I will not succeed for it is too big for me. cf. -lika-lika. rel. -njanga-njangela (njanga-njangezi) to try every way to help someone. caus. -njanga- njangba (njanga-njangisize) to help someone who tries to do a thing above his strength. 
-njangana (njanganl)	v.i. to speak without ever coming to the point; to delay one's work by talking too much. der. Iinjang na. cf. -liangana. caw. -njanganisa (njanganisize) to delay someone by talking too much. 
nJango (li-)	n. wasps' nest. 
njangwamuloti (bo-)	n. Luyana. my-thical monster (see mwendalutaka or mwendanjangub). 
-njanja (njanjile)	v.i. to tremble, to shiver, to shake (from cold, fear or anger). syn. -n_,-mbwemb-weta. rel. -'njanjela (njanjezi) to tremble, craving for something. caus. -njanjisa (njanjisize) to cŒuse to ~.rec. -njanjelana (njanjelani) to shake with fury (speaking of two people on the point of fighting). ref. -injanjisa (injanjisize) to make or to allow oneself to shake with excitement etc: U sike wa injanjisa cwalo, sutelela kwa mulilo; come to the fire do not go on shivering like that. 
-njanjamana (njanjamani)	v.i. to stand in admiration. der. Iinjanja- mana. syn. -cimana. rel. -njanjama-nela (njanjamanezi) to stand with the purpose of admiring some-thing. caus. -njanjamanisa (njanja-manisize) to cause someone to stand and admire something 
-njanjata (njanjatile) 	v.i. to walk shakily, like a sick or old person. syn. -ngwangwasha. caus. -njanja-tisa (njanjatisize) to cause some-one to 
njanji (li-)	n. rail, railway, railway line: Ni ya kwa njanji kamuso, I am going to the line of rail tomorrow. fig. a very strong person. 
njanu (li-)	n. Luyana. a greedy, ra-pacious person. 
njapanjapa (li-)	n. small pool, puddle, place covered with shal-low muddy water. syn. njapwatila. 
njapwatila (li-)	n. place covered with muddy, miry water. syn. nja- panjapa. 
-njapwanga (njapwangile) or -cap-wanga (capwangile) 	v.i. to paddle very slowly and lazily. syn. -cap-waila. 
njebwe (li-)	n. poor, indigent person. syn. mufuzana, mubotana. 
njee (li-)	n. salt (spring-salt) syn. Iizwai. cf. mukele. 
njefu (li-)	n. water-nut. (fruit of an aquatic plant). 
njekel (I; or ma-)	n. sandy drift, ford. 
njeke2	n. kind of grass. 
njeke3 (li- or bo-)	n. Whistling Teal or Tree Duck. 
njeko (li-)	n. bulbous root of a special kind of grass (much liked by wild-geese and domestic ducks). 
njeleb (ma-)	n. place behind a vil-lage constructed on a slope. 
njenga (li-)	n. kind of small fish. 
-njenja (njenjize)	v.i. to trot. cf. -lika. rel. -njenjela (njenjezi) to trot towards. caus. -njenjisa (njenjisize) to put a horse or an ox to a jog-trot. 
njenje,	n. nakedness, barrenness: Ku zamaya njenje, to walk undressed. syn- mapunu. 
njenu-maeo (bo-)	n. Luyana. person with protruding upper teeth. cf. ngeti. 
njeshe,	n. Luyana. as njenje. 
njetumuko (li-)	n. slope, declivity. syn. mundandumuko. (from -shetu- muka). 
nji,	conj. or, nji? interj. adv. is it so? it is not so? njikita, n. a great number of cattle. 
-njikula1 (njikuzi)	v.i. to hiccup. der. njikunjiku. cuas. -njikulisa (njikuli-size) to cause hiccups. freq. -nji-kaula (njikauzi) or 
-njikola (nji-kozi) to have hiccups	often. 
-njikula2 (njikuzi) 	v.t. to hit with the arm. caus. -njikulisa (njikulisize) to cause to ~. rec. -njikulana (njiku-lani) to jostle each other. freq. -nji-kaula (njikauzi) or -njikola (nji-kozi) to hit repeatedly. red. -njiku-lanjikula (njikulanjikuzi) as freq. 
njikunjiku,	n. hiccups (from -nji-kulal). 
njilela (li-)	n. serous, watery matter coming out of a sore; resin. 
njilikati (bo-)	n. Luyana. unmarried woman. syn. namukuka. 
njilulume (bo-)	n. Luyana. unmar-ried man, bachelor. syn. Iikwasha. 
njima (li-)	n. Luyana. new base for a worn out mortar. 
njimba (li-)	n. Luyana. a round hut. 
njimbela,	n. beginning of the fiood: Ku fulaha mwa njimbela, to paddle over the tlooued plain. 
njimbo,	n. habit, manner; style. 
njimi (li-)	n. Luyana, cultivator, tiller, farmer. 
njimikati (li-)	n. Luyana. a woman who cultivates much. 
njimo (li-)	n. agriculture, cultiva-tion, husbandry: Mwa Bulozi hakuna njimo hande, Western Prov-ince is not the best place for agri- culture . 
Njimwana~	n. November. (see: kweli). 
-njinela (njinezi)	v.t. Eng. to work as an engineer: Batu ba njinela sipolo sa njanji, those people are con-structing a new railway line. 
njinga (li-)	n. bicycle. syn. kanamu-tendele, mbasikolo. 
njingatanyi (bo-)	n. Luyana. so-and-so, somebody, a certain person. syn. mukete, ngete. 
njinji (li-)	n. kind of large fish. 
njinjoa (li-)	n. Luyana. cemetery, graveyard. syn. mayumbelo. 
njinjo2 (li-)	n. Luyana. small bell. 
njoko. (li-)	n. monkey. 
-njokota (njokotile)	v.i. to be boiling (speaking of small fish in a pot). der. sinjokotela. cf. -bila. caus. -njo-kotisa (njokotisize) to boil. 
njolo (li-)	n. honey-bird (Black -Th-roated Honey Guide); fig. guide. 
njolomba (bo-)	n. cheat, deceitful person. cf. mupumi - 
njoma (njomile)	v.t. to peck. rel. -njomela (njomezi) to peck some- where: Mu bone kuhu yeo i ta ni njo-mela mbututu, watch that hen, it might peck my baby caus. -njomisa (njomisize) to carelessly to allow a fowl to peck food. freq. -njomaka (njomakile) to go on pecking. 
-njomba (njombile)	v.i. to become stuck (ox wagon, car, etc.); to run off the rails. f’g. to be hindered in one's work. rel. -njombela (njom-bezi) to become stuck somewhere. caus. -njombisa (njombisize) to cause to ~: Ni njombisizwe ki mu-shabati, I got stuck because of the deep sand. rel. -njomba-njomba (njomba-njombile) to become stuck every now and then: Motaya ka i njomba-njombafela, se i supezi; my car keeps stopping all the time because it is getting old. 
njombi (II-)	n. tuft of hair on the fo-rehead. syn. sisumpila. 
njombolo (li-)	n. crow-bar. 
-njombwaela (njombwaezi)	v.i. to walk on stilts. der. manjombwseli. 
njomot (li-)	n. any hollowing hatchet with long handle. 
njomo,2	n. good luck in hunting: Kacenu ki njomo, ni itopezi kulu, I am in luck today because I picked up a tortoise. 
-njomona (njomozi)	v.t. as -njoma. 
njonga, 	n. beer, alcohol, any intoxi-cating drink. syn. bucwala, maipu. 
-njongaela (njongaezi)	v.i. to walk (speaking of a tall person). rel. -njongaelela (njongaelezi) to walk somewhere (used of a tall person when being jeered at). 
njongonjongo,	n. apex, top, summit. -njonjaula (njonjauzi) v.i. to type slowly. rel. -njonjaulela (njonjau lezl) to ~ for someone! Munna a ku yo ni njonjaulela ka–olo ka ka ka, kwa of si ya hao, friend, please type this short letter for me in your OmCe. 
-njonjola (njonjoz~) 	v.i. to explain in great detail. caus. -njonjolisa (njon-jolilsize) to elicit long explanations. 
njonjolo,	n. Luyana. barge. 
-njonjomona1 (njonjomozi)	v.t. to start hollowing out a wooden vessel, a canoe, etc., rel. -njonjo-monela (njonjomonezi) to for some-one. caus. -njonjomonisa (njonjomo-nisize) to help to ~. int. -njonjomo- nelela (njonjomonelezl) to ~ com-pletely . 
-njonjomona2 (njonjomozi)	v.i. as -njonjola. 
njopu,	n. Luyana. a damp, dewy place: Mu no fulisezanga likomu kwa njopu, keep taking the cattle tc a dewy place for grazing. 
-njotomana (njotomani)	v.i. to sit. 
-njotomisa (njotomisize)	v.t. to beat a drum. 
njuelelo or njuwelelo (li-)	n. fishing-basket. syn. sishuelo. 
njuluti,	n. discrimination. syn, ketululo. 
njumbe (li-)	n. piece of cloth joining the two ends of an Silozi kilt. syn. mu–ato. 
njungo (li-)	n. very small calabash containing 'lucky' medicine. 
njungula (li-)	n. very large pot or ca-labash. 
-njungula (njunjuzi)	v.i. to wriggle, to writhe: Ni tabile tapi, na i utwaya njunjula kwa muwayo: l have speared a fish for I feel it wrig-gling. 
-njunjumeka (njunjumekile)	v.t. to spear (a fish) ref. -injunjumeka (in-junjumekile) to hurt oneself with a fishing spear: Ki kale ni injunju-meka muwayo kwa lihutu, l have just hurt my foot with a fishing spear. 
njwee!	Inter;. experessing the idea of complete recovery: Ni ta mu alafa mane a folelele njwee! l shall nurse him until he has completely recovered . 
nka!1	inter;. (1) to express a sudden fall: Na mu wisa na mu li nkafafasi! I knocked him down! cf. Iukutu. (2) to express that something is tied up tightly: Mu tame hahulu mu tEise nka! tie it up very tightly! 
-nka2 (nkile)	v.i. to be smelling; ku nka hande, to have a pleasant smell: ku nka hamunati, to have a pleasant taste, ku nka maswe, to stink. der. munko~ syn. -nunka. rel. -nkela (nkezi) to please or displease someone by one's smell: Libi lani li lu nkela maswe, that rotten fish over there stinks in our nostrils. caus. 
-nkisa (nkisize) to cause to scent or to	stink. 
nkala (li-)	n. crab, crawfish, crayf-ish. 
nkalakata (li-)	n. any large full grown creature. spec. exp. namani tuna a nkalakata ya munna; ya kwena; ya ndombe, etc., a very big man, crocodile, barble fish, etc. cf. nkuzi. 
nkalankala (II- or ma-)	n. tortoise shell containing medicines be- lieved to harm people (witchcraft). 
nkambe (li-)	n. Eng. camp. Boma. 
nkau (li-)	n. medicine taken to pro-tect oneself against any kind of harm (witchcraft). syn. tatu. 
nkola (bo-)	n. troublesome person, nasty person. (from -kola). 
nkomwana (ma-)	n. young calf al-ready weaned. 
nkukwe (li-)	n. cooked mealie meal prepared the previous day. 
nkunankuna (bo-)	n. child whose upper teeth appear first (such a child would be put to death in the past). 
nkungulu (li-)	n. Iarge bull elephant. 
nkuwa,	n. defamation, calumny, slander. 
nkuzi (li-)	n. a very large stout man. syn. singungwe, cf. nkalakata. 
nkwana (II-)	n. water pot (eathen-ware) fig. great beer drinker, a person reeking of beer. 
nkwaya,	n. (1) libeny, peace, free-dom: ku ca nkwaya, to live in peace (2) pleasure one feels when riding an ox. 
nkwika (bo-)	n. dirty, careless person. 
nkwilimba (li-)	n. domestic pigeon. fig. weak, feeble person. 
nkwinini (li-)	n. Eng. quinine. 
noha (li-)	n. snake (gen. name); in-testinal tape worm. fig. cruel, hard-hearted, ruthless, pitiless person . 
nohonoho	n. fatty and tasty relish (meat, fish, etc.,) 
noi (li-)	n. a person who tends to defecate near villages. 
noka (li-)	n. hip. 
